,time1,object1,xloc1,yloc1,alt1,az1,time2,object2,xloc2,yloc2,alt2,az2,time_dif,pix_dif,ang_dist,pix_mid_x,pix_mid_y,ratio
5613,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:26:49,Arcturus,210.0952453613281,286.0952453613281,0.350502428294,4.83994468808,2816.0,317.6079407572008,71.5584365091502,319.29762268066406,170.79762268066406,0.22530430548603286
5615,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:26:24,Arcturus,209.22222900390625,285.5555419921875,0.351782530291,4.83871686887,2841.0,317.8180190837745,71.55839589026465,318.8611145019531,170.52777099609375,0.22515525109796364
5617,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:25:40,Arcturus,208.5,285.5,0.354035993577,4.83655507642,2885.0,318.27660925679095,71.558319161305,318.5,170.5,0.2248305941438836
5620,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:25:26,Arcturus,208.3333282470703,285.0,0.354753132662,4.83586700793,2899.0,318.030837106659,71.55829334599272,318.41666412353516,170.25,0.22500426058368042
5622,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:25:17,Arcturus,208.0,284.5,0.355214183008,4.83542462003,2908.0,317.901321167434,71.55827639354065,318.25,170.0,0.22509587607486523
5623,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:25:09,Arcturus,208.0,284.6666564941406,0.35562402671599996,4.83503134794,2916.0,318.0213930676731,71.55826108964806,318.25,170.0833282470703,0.22501084093553692
5625,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:24:55,Arcturus,208.0,284.6666564941406,0.356341300976,4.83434303431,2930.0,318.0213930676731,71.55823377705177,318.25,170.0833282470703,0.225010755052647
5628,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 05:02:00,Procyon,150.4761962890625,300.23809814453125,0.335475362793,4.49789239866,29505.0,370.3970465774533,85.45311647707521,289.48809814453125,177.86904907226562,0.23070679765586688
5629,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 03:02:08,Procyon,72.5,315.5,0.669470138479,4.0346207632499995,36697.0,440.8355702526737,85.28733825466887,250.5,185.5,0.19346746045421137
5631,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:07:00,Arcturus,188.5,272.5,0.41157333407499996,4.78109330676,4005.0,323.55679563254427,71.55411977273579,308.5,164.0,0.221148561052008
5637,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 03:36:57,Capella,295.5,179.5,0.613452870614,5.28358938677,34608.0,181.8378398463862,44.6339461469483,362.0,117.5,0.24546016486257408
5638,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 03:06:57,Aldebaran,107.5,288.5,0.264964341373,4.85900717175,36408.0,396.6484589658707,74.10584746133912,268.0,172.0,0.18683004001716166
