,Code,Filename,Real_flag
285,5JQ,20181117_045934.avi,0.0
286,5R6,20190126_123737.avi,0.0
287,5LI,20181117_050510.avi,0.0
288,0KI,20181020_034108.avi,0.0
289,5RB,20190126_130851.avi,0.0
290,5QY,20190126_123014.avi,0.0
291,5RD,20190126_130905.avi,0.0
292,5JM,20181117_045911.avi,0.0
293,5LW,20181117_050619.avi,0.0
294,0N7,20181117_041721.avi,0.0
295,5JY,20181117_050017.avi,0.0
296,5SR,20190126_131745.avi,0.0
297,5K1,20181117_050033.avi,0.0
298,5LY,20181117_050629.avi,0.0
299,5OP,20190126_122444.avi,0.0
300,01X,20180819_053406.avi,0.0
301,5JN,20181117_045917.avi,0.0
302,5KZ,20181117_050333.avi,0.0
303,047,20180819_092151.avi,0.0
304,5LX,20181117_050624.avi,0.0
305,0NS,20181117_041947.avi,0.0
306,5KT,20181117_050302.avi,0.0
307,0KY,20181020_045652.avi,0.0
308,5LK,20181117_050520.avi,0.0
309,5LA,20181117_050429.avi,0.0
310,5RW,20190126_131326.avi,0.0
311,5QW,20190126_122806.avi,0.0
312,0L9,20181022_103010.avi,0.0
313,0MR,20181117_041559.avi,0.0
314,0MJ,20181117_041514.avi,0.0
315,5JW,20181117_050006.avi,0.0
316,0KN,20181020_034814.avi,0.0
317,5MB,20181118_021034.avi,0.0
318,5OU,20190126_122533.avi,0.0
319,0NF,20181117_041811.avi,0.0
320,0LP,20181022_115743.avi,0.0
321,fixme,20180819_094356.avi,0.0
322,5R4,20190126_123618.avi,0.0
323,5OV,20190126_122540.avi,0.0
324,0M3,20181023_102206.avi,0.0
325,5RT,20190126_131302.avi,0.0
326,5LF,20181117_050454.avi,0.0
327,5MN,20181205_051755.avi,0.0
328,06C,20180819_101841.avi,0.0
329,5RC,20190126_130857.avi,0.0
330,5SO,20190126_131724.avi,0.0
331,5JU,20181117_045955.avi,0.0
332,5RL,20190126_131156.avi,0.0
333,0LJ,20181022_114652.avi,0.0
334,0LB,20181022_104940.avi,0.0
335,5J9,20181117_043214.avi,0.0
336,0ND,20181117_041758.avi,0.0
337,5SH,20190126_131631.avi,0.0
338,0M8,20181023_102414.avi,0.0
339,0L2,20181021_030004.avi,0.0
340,5LV,20181117_050614.avi,0.0
341,0LG,20181022_112058.avi,0.0
342,5KI,20181117_050203.avi,0.0
343,0MQ,20181117_041553.avi,0.0
344,0MS,20181117_041605.avi,0.0
345,5OK,20190126_054509.avi,0.0
346,0N8,20181117_041727.avi,0.0
347,5J2,20181117_043148.avi,0.0
348,5K7,20181117_050104.avi,0.0
